"","SRR1177997","SRR1177999","SRR1178002","SRR1178030","SRR1178040","SRR1178056"
"NM_001008368",1252.94565200702,1332.47990371623,1274.06370897534,1461.0696197017,1572.00476650764,1666.4734433314
"NM_001106284",9.58642426937276,0.872612903546972,2.87599031371409,11.7119809194525,10.5010338444064,16.5700484422157
"NM_001039611",313.476073608489,349.917774322336,288.557694809314,362.095410093074,340.233496558767,383.47826394842
"NM_001012742",57.5185456162366,66.3185806695699,80.5277287839946,139.567772623476,91.3589944463357,233.164253079749
"NM_001105731",9.58642426937276,8.72612903546973,10.5452978169517,5.85599045972626,10.5010338444064,9.46859910983752
"NM_001024899",23.0074182464946,31.414064527691,49.8504987710443,32.2079475284944,31.5031015332192,37.8743964393501
"NM_013070",1000.82269372252,1130.03371009333,906.895612257844,1048.222292291,1636.06107295852,1462.8985624699
"NM_001108458",11.5037091232473,15.7070322638455,24.9252493855221,6.83198886968064,16.8016541510502,21.3043479971344
"NM_001107515",28.7592728081183,22.6879354922213,17.2559418822846,15.61597455927,4.20041353776256,18.937198219675
"NM_080894",21.0901333926201,36.6497419489728,23.0079225097127,24.3999602488594,35.7035150709818,29.5893722182423
"NM_001190999",69.0222547394839,116.057516171747,81.4863922218993,121.023802834343,82.9581673708105,94.6859910983752
"NM_012689",242.536534015131,164.923838770378,189.81536070513,173.727716971879,35.7035150709818,73.3816431012408
"NM_020093",78.6086790088566,107.331387136278,68.0651040912335,70.2718855167151,78.757753833048,53.2608699928361
"NM_001101008",119.83030336716,74.1720968014927,105.452978169517,121.999801244297,113.411165519589,106.521739985672
"NM_133406",47.9321213468638,43.6306451773486,32.5945568887597,52.7039141375363,44.1043421465069,40.2415462168095
"NM_001106231",15.3382788309964,10.4713548425637,23.0079225097127,25.3759586588138,22.0521710732534,30.7729471069719
"NM_031139",1404.41115546311,1185.88093592034,1305.6996024262,1341.02181527731,1382.98615730832,1563.50242801192
"NM_001039037",87.2364608512921,88.1339032582442,84.3623825356134,100.527836225301,79.8078572174886,75.7487928787002
"NM_053557",141.879079186717,134.382387146234,149.551496313133,170.799721742016,264.626052879041,363.357490840015
"NM_031013",12876.4850786215,15232.330844316,13847.8933605334,14884.9517502142,12046.786026303,12898.5991373762
"NM_001127504",1831.0070354502,1910.14964586432,1808.03924388826,2318.9722220516,1893.33640214647,1487.75363513322
"NM_001106268",115.99573365941,137.872838760422,116.956939424373,126.879793294069,147.01447382169,165.700484422157
"NM_001106271",1580.80136201957,1774.02203291099,1751.47810105188,1601.61339073513,2223.06886486083,1555.21740379081
"NM_177481",28.7592728081183,30.541451624144,57.5198062742818,28.3039538886769,28.3527913798973,11.8357488872969
"NM_031238",461.10700735683,417.108967895453,446.737162063589,448.959268579013,581.757274980115,562.198072146603
"NM_053554",1980.55525405241,2095.14358141628,1884.73231892063,1997.86874517661,2215.71814116975,2044.03383283618
"NM_001013896",2920.98347487788,3351.70616252392,3505.83219241748,2085.7086020725,4032.39699625206,4423.01935918285
"NM_001107536",411.257601156091,421.472032413188,413.183941736925,297.679515036085,456.794972231678,484.082129490443
"NM_001024751",153.382788309964,123.91103230367,133.254217868753,117.119809194525,175.367265201587,130.193237760266
"NM_172067",55.601260762362,31.414064527691,51.7678256468537,54.6559109574451,38.8538252243037,29.5893722182423
"NM_001107542",2821.2846624764,3029.71200111509,2803.13189243333,2936.77921555272,3065.25177918223,3398.04350554294
"NM_012713",36.4284122236165,24.4331612993152,32.5945568887597,51.727915727582,48.3047556842694,39.0579713280798
"NM_001172305",44.0975516391147,39.2675806596138,67.1064406533288,71.2478839266695,54.6053759909133,31.9565219957016
"NM_001013193",726.650959618455,685.001129284373,826.367883473849,675.390899688428,807.529502634852,823.768122555864
"NM_001106300",914.544875298161,959.87419390167,919.358236950605,890.110549878391,1043.802764134,955.14493520486
"NM_001108923",402.629819313656,520.077290513996,427.563893305495,329.887462564579,469.396212844966,549.178748370576
"NM_201350",113.119806378599,116.930129075294,115.039612548564,134.687780573704,94.5093045996576,60.3623193252142
"NM_032073",23.0074182464946,26.1783871064092,13.4212881306658,20.4959666090419,21.0020676888128,28.4057973295126
"NM_134380",5606.14091272919,4743.52374368134,4510.5114753416,4723.83230417918,4260.26943067568,3497.46379619623
"NM_053823",295.261867496681,267.892161388921,199.401995084177,223.503635879552,208.970573503687,104.154590208213
"NM_001100975",744.865165730263,784.479000288728,665.31242590586,668.558910818748,802.278985712649,770.507252563028
"NM_001024974",149.548218602215,178.013032323582,169.683428509131,187.39169471124,217.371400579212,209.492755305155
"NM_001013152",2953.57731739375,2924.1258397859,3016.91383908608,3257.88269242771,3118.8070517887,4098.71983967092
"NM_001107585",675.84291099078,755.682774471678,624.089898075958,741.758791565326,843.233017705834,829.685996999513
"NM_053773",713.229965641333,895.300839039194,683.527031226049,951.598449705517,755.02433341282,918.45411365424
"NM_001037793",1198.3030336716,1228.63896819414,1258.72509396887,1301.00588046918,1476.44535852354,1233.28503405634
"NM_013155",43.1389092121774,71.5542580908517,63.27178690171,76.1278759764414,38.8538252243037,28.4057973295126
"NM_001354115",97.7815275476022,109.949225846919,139.006198496181,128.831790113978,113.411165519589,78.1159426561596
"NM_133400",1748.56378673359,1614.3338715619,1299.94762179877,1521.58152111887,2770.17272815441,2337.56040524114
"NM_017365",1007.53319071108,935.441032602354,917.440910074795,862.782594399669,538.703036218048,549.178748370576
"NM_017158",4292.80078782512,6664.14474438823,8993.22171098397,6173.18994296143,5067.79893331053,5373.42999483279
"NM_001007148",259.792097700002,256.54819364281,334.573539828739,211.7916549601,265.676156263482,217.777779526263
"NM_001107606",189.811200533581,299.306225916612,280.888387306076,330.863460974534,346.534116865411,269.855074630369
"NM_001191052",831.142984154618,713.797355101423,709.410944049476,765.182753404231,756.074436797261,717.246382570192
"NM_001047087",4598.60772201811,4452.07103389665,4169.22729144753,4429.08078437296,6840.37344624633,7680.21745296696
"NM_001108457",248.288388576754,177.140419420035,214.740610090652,207.887661320282,255.175122419075,294.710147293693
"NM_030843",27.800630381181,29.6688387205971,13.4212881306658,32.2079475284944,22.0521710732534,14.2028986647563
"NM_001108901",26.8419879542437,48.8663225986305,21.0905956339033,23.423961838905,29.4028947643379,9.46859910983752
"NM_001107470",359.490910101479,362.134354971994,333.614876390835,396.255354441477,414.790836854053,392.946863058257
"NM_001276762",8.62778184243549,12.2165806496576,7.66930750323758,1.95199681990875,4.20041353776256,2.36714977745938
"NM_214458",59.4358304701111,85.5160645476033,63.27178690171,30.2559507085857,54.6053759909133,49.710145326647
"NM_001134425",81.4846062896685,70.6816451873048,60.3957965879959,60.5119014171713,830.631777092546,929.106287652807
"NM_024137",79.5673214357939,93.3695806795261,78.6104019081852,93.6958473556201,205.820263350365,177.536233309454
"NM_001106264",249.247031003692,252.185129125075,283.76437761979,276.207550017089,321.331635638836,292.342997516234
"NM_001277694",164.886497433211,101.223096811449,159.13813069218,118.09580760448,193.219022737078,227.246378636101
"NM_001106270",20.1314909656828,37.5223548525198,24.9252493855221,15.61597455927,37.803721839863,30.7729471069719
"NM_001002277",119.83030336716,109.949225846919,132.295554430848,114.191813964662,134.413233208402,136.111112203914
"NM_001029902",989.318984599269,898.791290653382,873.342391931179,1033.58231614168,822.230950017021,633.212565470384
"NM_001170575",306.765576619928,337.701193672678,291.433685123028,267.423564327499,237.323364883585,355.072466618907
"NM_001195606",1413.99757973248,1633.53135543993,1298.03029492296,1757.77313632783,1058.50421151617,1114.92754518337
"NM_001001801",66.146327458672,49.7389355021774,76.6930750323758,49.7759189076732,47.2546522998288,55.6280197702954
"NM_019370",2173.2423818668,2100.37925883756,2106.18357307662,3589.7221518122,1296.87767978419,1487.75363513322
"NM_053535",2263.35476999891,2427.60909766768,2236.56180063166,2219.42038423625,1925.88960706413,1961.1835906251
"NM_021869",721.857747483769,799.313419649027,774.600057826995,793.486707292908,750.823919875058,758.671503675732
"NM_001107451",282.799515946496,275.745677520843,242.541849789888,189.343691531149,203.720056581484,137.294687092644
"NM_001044295",18.2142061118082,6.10829032482881,14.3799515685705,15.61597455927,6.30062030664384,5.91787444364845
"NM_198051",117.913018513285,111.694451654012,130.378227555039,112.239817144753,135.463336592843,137.294687092644
"NM_001100990",109.285236670849,62.828129055382,87.2383728493275,64.4158950569888,73.5072369108448,93.5024162096455
"NM_130428",7558.89553640042,8683.37100319592,8993.22171098397,8021.73093141502,6000.29073869382,6721.52179309591
"NM_001107454",51.7666910546129,47.1210967915365,35.4705472024738,42.9439300379926,44.1043421465069,63.9130439914033
"NM_001107453",343.193988843545,428.452935641563,367.168096717499,284.991535706678,299.279464565582,307.729471069719
"NM_001040128",1000.82269372252,957.256355191029,959.622101342602,927.198489456658,629.011927279943,650.96618880133
"NM_001108462",9.58642426937276,8.72612903546973,15.3386150064752,29.2799522986313,23.1022744576941,18.937198219675
"NM_139094",973.980705768273,956.383742287482,884.846353186036,854.974607120034,1072.15555551389,1055.74880074688
"NM_001012061",347.987200978231,256.54819364281,277.053733554458,274.25555319718,290.878637490057,271.038649519099
"NM_181474",178.307491410333,201.573580719351,154.344813502656,245.951599308503,149.114680590571,195.289856640399
"NM_001039343",46.0148364929893,40.1401935631607,40.2638643919973,42.9439300379926,46.2045489153882,28.4057973295126
"NM_012756",1778.28170196865,1767.04112968262,1730.38750541798,2087.66059889241,2596.9056697217,2197.89856837103
"NM_001115021",393.043395044283,429.32554854511,459.19978675635,515.327160455911,633.212340817706,498.2850281552
"NM_001008302",377.705116213287,401.401935631607,371.002750469118,332.815457794442,507.199934684829,503.019327710118
"NM_057128",51.7666910546129,78.5351613192275,42.1811912678067,66.3678918768976,35.7035150709818,30.7729471069719
"NM_013217",1622.02298637787,1726.02832321591,1542.48947158866,1856.34897573322,1773.62461632024,1772.99518331708
"NM_001107464",46.0148364929893,26.1783871064092,18.2146053201892,55.6319093673995,145.964370437249,129.009662871536
"NM_001106215",128.458085209595,109.949225846919,145.716842561514,105.407828275073,44.1043421465069,54.4444448815658
"NM_001169138",232.950109745758,162.306000059737,212.823283214843,193.247685170967,155.415300897215,138.478261981374
"NM_001004198",156.258715590776,130.019322628499,162.972784443799,155.183747182746,180.61778212379,147.946861091211
"NM_001113403",345.111273697419,385.694903367762,511.926275841108,466.527239958192,450.494351925034,388.212563503338
"NM_001135720",17.255563684871,24.4331612993152,26.8425762613315,15.61597455927,24.1523778421347,22.4879228858641
"NM_057140",3108.87739055759,3000.91577529804,2968.98066719085,2936.77921555272,2250.37155285629,2278.38166080465
"NM_001107467",69.0222547394839,96.8600322937139,95.8663437904697,98.575839405392,60.9059962975571,67.4637686575924
"NM_001313942",7.66913941549821,4.36306451773486,1.91732687580939,6.83198886968064,10.5010338444064,9.46859910983752
"NM_001006968",6.71049698856093,10.4713548425637,4.79331718952349,11.7119809194525,8.40082707552512,3.55072466618907
"NM_001108465",58.4771880431738,75.0447097050396,111.204958796945,39.0399363981751,86.1084775241325,102.971015319483
"NM_001134545",21.0901333926201,19.1974838780334,20.1319321959986,18.5439697891332,12.6012406132877,18.937198219675
"NM_139261",379.622401067161,380.45922594648,386.341365475593,483.119212927416,518.751071913676,491.183578822822
"NM_001106225",3.8345697077491,3.49045161418789,5.75198062742818,7.80798727963501,4.20041353776256,7.10144933237814
"NM_001025002",21.0901333926201,45.3758709844426,30.6772300129503,14.6399761493156,37.803721839863,33.1400968844313
