"","SRR1178014","SRR1178021","SRR1178047","SRR1178064","SRR1178074","SRR1178075"
"NM_031238",359.456259342137,309.89844581595,234.202194984865,979.619718188704,712.962908944851,937.353060630903
"NM_053554",4148.72432657383,4167.20582899052,3790.1721888384,3835.81291490537,4282.51250145147,3580.85313951542
"NM_001013896",4681.25211819181,3029.00738974945,2355.03318290336,5552.67801228201,4523.99993835215,5512.2937881312
"NM_001107536",665.659739522476,621.22499506884,554.278528130847,681.010033712124,744.078937228971,589.545740765226
"NM_001024751",208.018668600774,324.179480185349,200.372989042607,237.313157907941,290.190785519299,241.738420899549
"NM_172067",33.2829869761238,47.1274134190155,62.4539186626306,86.0400785779975,56.8205733883942,73.17931789136
"NM_001107542",5064.00646841724,5452.4989222364,4739.99220183257,6402.39408242158,6211.02981966947,5115.97433618024
"NM_012713",39.9395843713486,31.418275612677,24.721342803958,62.9835869329132,51.4090902085471,61.667964515191
"NM_001172305",43.267883068961,29.9901721757371,61.1527953571592,71.4188887542855,78.4665061077824,96.2020246436979
"NM_001013193",1284.72329727838,1222.45654202052,1212.64692069941,1368.76830888135,1455.01253998138,1395.34047709705
"NM_001106300",1775.64735517621,1580.91050469243,1774.73218866309,1782.09809812859,2048.24638357211,1700.39134156553
"NM_001108923",798.791687426972,552.676030095727,705.208831565538,779.421888294801,802.252381412327,753.171406612199
"NM_201350",227.988460786448,154.235171189505,225.094331846565,254.746115005444,227.282293553577,254.072013802587
"NM_032073",33.2829869761238,42.8431031081959,39.0336991641441,34.8659141950055,39.9096884513721,57.5567668808449
"NM_134380",2742.5181268326,549.819823221847,227.696578457508,9610.62054181685,10926.4609755087,7594.20427016405
"NM_053823",302.875181482727,295.617411446552,297.957236952967,399.270952878289,352.42284208754,416.875440122691
"NM_001100975",1604.23997224917,1475.23085035888,1413.01990974202,1326.59179977448,1096.50177931651,1444.67484870921
"NM_001024974",416.037337201548,454.136892946876,469.705513275201,382.962702690303,401.802626103644,299.295187780394
"NM_001013152",3837.52839834708,3284.63790496168,2831.24431270592,5322.67544928593,5906.63389080307,5346.20140370362
"NM_001107585",1471.10802434467,1416.67860944434,1647.22210472688,1556.03200931581,1559.86002659092,1276.11574570102
"NM_053773",1827.2359849892,1530.92688439953,2315.99948373922,1791.09575340472,1976.54423143914,1554.85494530968
"NM_001037793",2314.83174418941,1569.48567719691,1696.6647903348,2745.97191958406,2648.92101653514,2552.23149140204
"NM_013155",199.697921856743,269.911549581634,379.92800519767,71.9812422090437,139.345691881062,113.469054707951
"NM_001354115",163.086636183007,134.241723072347,269.332524232595,207.508424805759,206.312796231669,217.071235093472
"NM_133400",2071.86593926371,2797.65463296519,1048.70538421001,2524.40465840935,1714.76373261404,2016.13131988331
"NM_017365",3110.29513291877,3103.26876847032,3445.37451288846,2553.08468460202,2322.20271955187,1801.52680337045
"NM_017158",21530.7642748545,46688.9856638749,28467.2768004103,7504.60685374756,3928.73678856897,9755.04974677634
"NM_001007148",377.761902179005,438.427755140538,577.698747629333,464.503953630235,440.359443760055,508.144027605174
"NM_001107606",539.184389013206,319.895169874529,525.653815410475,577.536998036624,447.800233132344,407.00856580026
"NM_001191052",1149.92720002508,771.175855947526,727.327927758553,1808.52871050222,1514.5388549597,1435.63021391365
"NM_001047087",12767.3538040411,16321.7941807857,15132.0640426332,9717.4676982209,9857.69304748891,8344.08671866877
"NM_001108457",505.901402037082,606.943960699442,529.557185326889,577.536998036624,677.111832878364,435.786949240683
"NM_030843",36.6112856737362,34.2744824865567,28.6247127203724,62.4212334781551,30.4395928866397,37.0007787091146
"NM_001108901",54.9169285106043,28.5620687387973,31.2269593313153,72.5435956638018,75.084329120378,75.6460364719676
"NM_001107470",812.104882217421,905.417579019873,875.6559845823,714.188887542855,763.695563755917,645.458028592332
"NM_001276762",26.626389580899,77.1175855947526,29.9258360258438,10.1223621856468,14.2051433470985,11.511353376169
"NM_214458",116.490454416433,117.104481829069,66.357288579045,78.1671302113834,96.0538264422854,74.8237969450984
"NM_001134425",520.878746176338,531.254478541629,593.312227294991,291.861443019482,243.516743093118,115.11353376169
"NM_024137",149.773441392557,265.627239270814,344.79767594994,147.898958601394,290.86722091678,162.803426320104
"NM_001106264",524.20704487395,592.662926330043,526.954938715946,553.918152936781,535.736834804859,496.632674229005
"NM_001277694",600.757914919035,1269.58395543954,739.038037507796,289.612029200449,334.835521753037,333.8292479089
"NM_001106270",74.8867206962786,69.9770684100533,44.23819238603,56.7976989305735,44.6447362337383,52.6233297196296
"NM_001002277",247.958252972122,427.002927645019,365.615648837484,222.129614629471,255.016144850293,194.048528341134
"NM_001029902",2165.05830279685,2422.06342905001,2434.40170453712,2197.11494774011,1855.46229529006,1781.79305472558
"NM_001170575",634.040901895159,645.502753496818,694.799845121766,582.598179129447,619.614824092489,616.67964515191
"NM_001195606",2597.73713348646,1565.20136688609,1373.98621057787,2667.80478937268,3446.4383501651,3049.68640515791
"NM_001001801",116.490454416433,165.659998685024,150.930303434691,86.6024320327557,123.111242341521,122.513689503513
"NM_019370",5566.57957175671,3029.00738974945,2742.76792793386,3824.5658458102,5051.61954838723,4494.36125386712
"NM_053535",3468.0872429121,2362.08308469853,2313.39723712828,3110.93931172211,3195.48081769969,3844.79202764044
"NM_021869",1284.72329727838,1148.19516329965,1124.17053592735,1390.70009361691,1523.33251512695,1361.62865649542
"NM_001107451",366.112856737362,108.53586120743,182.157262766006,454.943944899346,545.206930369592,455.520697885544
"NM_001044295",23.2980908832867,9.99672405857904,13.0112330547147,6.18588800233969,8.79366016725148,22.2004672254687
