"","SRR1177963","SRR1177964","SRR1177965","SRR1178030","SRR1178040","SRR1178056"
"NM_001008368",1100.65055144006,1163.36090403071,1128.78976423506,1410.96473050759,1535.72745783862,1615.53215093418
"NM_001106284",35.295123168542,20.1844951803436,35.3694196492634,11.3103385211029,10.2587004531638,16.0635299098569
"NM_001039611",630.668121880001,633.97664407352,684.145631501467,349.677965944098,332.381894682507,371.755977913831
"NM_001012742",108.671826597879,116.519585813802,114.192697724765,134.781534043143,89.250693942525,226.036813731558
"NM_001105731",13.0034664305155,5.5048623219119,8.0844387769745,5.65516926055146,10.2587004531638,9.17915994848965
"NM_001024899",33.4374851070398,45.8738526825992,35.3694196492634,31.103430933033,30.7761013594914,36.7166397939586
"NM_013070",1093.21999919405,1282.63292100547,1423.87177959463,1012.27529763871,1598.30553060292,1418.18021204165
"NM_001108458",7.43055224600884,11.9272016974758,14.1477678597054,6.59769747064337,16.4139207250621,20.6531098841017
"NM_001107515",105.885369505626,55.966100272771,77.8127232283796,15.0804513614706,4.10348018126552,18.3583198969793
"NM_080894",22.2916567380265,17.4320640193877,22.2322066366799,23.5632052522977,34.8795815407569,28.6848748390302
"NM_001190999",67.8037892448307,91.7477053651983,58.6121811330651,116.873498051397,81.043733579994,91.7915994848965
"NM_012689",45.5121325068042,26.6068345559075,44.4644132733598,167.77002139636,34.8795815407569,71.1384896007948
"NM_020093",66.8749702140796,78.9030266140706,63.6649553686742,67.8620311266175,76.9402533987284,51.6327747102543
"NM_001101008",133.749940428159,139.456512155101,143.498788291297,117.816026261489,110.793964894169,103.265549420509
"NM_133406",31.5798470455376,31.1942198241674,48.506632661847,50.8965233449631,43.0865419032879,39.011429781081
"NM_001106231",18.5763806150221,6.42233937556388,10.1055484712181,24.5057334623896,21.543270951644,29.8322698325914
"NM_031139",1048.636685718,1115.65209724081,1016.61817620454,1295.03376066628,1351.07084968167,1515.70878649435
"NM_001039037",157.899235227688,146.796328584317,151.583227068272,97.0804056394667,77.9661234440448,73.4332795879172
"NM_053557",291.649175655847,245.883850378732,259.712595710306,164.942436766084,258.519251419728,352.25026302329
"NM_031013",10647.0525494999,11099.6373950817,10392.5460478007,14374.4977321117,11768.7811598695,12504.31063983
"NM_001127504",1391.37090806516,1403.73989208753,1372.33348239142,2239.44702717838,1849.64369170543,1442.27550690644
"NM_001106268",98.4548172596172,138.539035101449,146.530452832663,122.528667311948,143.621806344293,160.635299098569
"NM_001106271",1147.09150297762,1787.24530051406,1585.56055513412,1546.68879276082,2171.76688593478,1507.67702153943
"NM_177481",24.1492947995287,44.0388985752952,20.2110969424363,27.3333180926654,27.6984912235422,11.4739499356121
"NM_031238",272.143976010074,320.199491724542,245.5648278506,433.562976642278,568.332005105274,545.012621941573
"NM_053554",1705.31174045903,1711.09470506095,1704.8060270945,1929.35524605814,2164.58579561756,1981.5511538802
"NM_001013896",2251.45733054068,2769.86322497534,2194.92512794858,2014.18278496641,3939.3409740149,4287.81509093823
"NM_001107536",315.798470455376,352.311188602362,453.739126357694,287.471104078032,446.253469712625,469.284552366534
"NM_001024751",142.109311704919,167.898300818313,143.498788291297,113.103385211029,171.320297567835,126.213449291733
"NM_172067",29.7222089840354,22.0194492876476,28.2955357194108,52.7815797651469,37.957191676706,28.6848748390302
"NM_001107542",2648.0630566714,2713.89712470257,2631.4848219052,2836.06738416656,2994.51466227851,3294.17102651422
"NM_012713",19.5051996457732,11.9272016974758,14.1477678597054,49.9539951348712,47.1900220845534,37.8640347875198
"NM_001172305",22.2916567380265,14.6796328584317,48.506632661847,68.8045593367094,53.3452423564517,30.9796648261526
"NM_001013193",751.414595877644,685.355359078031,664.945089406153,652.229521383601,788.894064848296,798.5869155186
"NM_001106300",790.424995169191,898.210035525292,860.992729747784,859.585727603821,1019.71482504448,925.947759803894
"NM_001108923",452.334867975788,454.151141557732,437.570248803745,318.574535011065,458.563910256422,532.3912770124
"NM_201350",44.5833134760531,84.4078889359825,52.5488520503343,130.068892992683,92.3283040784741,58.5171446716215
"NM_032073",7.43055224600884,17.4320640193877,10.1055484712181,19.7930924119301,20.5174009063276,27.537479845469
"NM_134380",2654.56478988666,3565.31583049161,2659.78035762461,4561.83653684484,4161.95477384855,3390.55220597337
"NM_053823",272.143976010074,276.160593149247,256.68093116894,215.838960111047,204.148139017959,100.970759433386
"NM_001100975",774.635071646422,977.113062139362,1112.62088668112,645.631823912958,783.764714621714,746.954140808346
"NM_001024974",231.275938657025,182.577933676745,167.752104622221,180.965416337647,212.355099380491,203.088913860334
"NM_001013152",1848.3498711947,1729.44424613399,1898.83255774189,3146.15916528679,3046.83403458965,3973.42886270246
"NM_001107585",683.610806632814,720.219487116807,626.544005215524,716.321439669851,823.773646389053,804.323890486406
"NM_053773",863.801698598528,792.700174355313,735.68392870468,918.965004839612,737.600562582477,890.378515003496
"NM_001037793",959.470058765892,1031.24420830483,1143.94808694189,1256.39010405252,1442.37328371483,1195.58558329078
"NM_013155",351.093593623918,413.782151197044,510.330197796515,73.5172003871689,37.957191676706,27.537479845469
"NM_001354115",102.170093382622,53.213669111815,100.044929865059,124.413723732132,110.793964894169,75.7280695750396
"NM_133400",1500.04273466304,2087.26029705826,2395.0149876787,1469.40147953329,2706.24517954461,2266.10511228338
"NM_017365",1144.30504588536,1143.17640885037,1115.65255122248,833.194937721248,526.271333247303,532.3912770124
"NM_017158",60.3732369988219,112.849677599194,46.4855229676034,5961.49092883133,4950.84883869685,5209.17327076788
"NM_001007148",349.235955562416,337.63155574393,309.229783219275,204.528621589944,259.545121465044,211.120678815262
"NM_001107606",127.248207212901,187.165318945005,158.657110998125,319.517063221157,338.537114954405,261.606058531955
"NM_001191052",540.572675897143,605.534855410309,536.604623821683,738.942116712057,738.626432627793,695.321366098091
"NM_001047087",5794.90193285615,5960.84841757694,6369.52720140879,4277.19301739708,6682.51747519089,7445.44611321867
"NM_001108457",333.446032039647,258.728529129859,328.430325314589,200.758508749577,249.28642101188,285.701353396741
"NM_030843",21.3628377072754,15.5971099120837,17.1794324010708,31.103430933033,21.543270951644,13.7687399227345
"NM_001108901",14.8611044920177,24.7718804486035,12.1266581654618,22.6206770422058,28.7243612688586,9.17915994848965
"NM_001107470",433.758487360766,415.617105304348,441.612468192232,382.666453297315,405.21866789997,380.935137862321
"NM_001276762",39.0103992915464,23.8544033949516,27.2849808722889,1.88505642018382,4.10348018126552,2.29478998712241
"NM_214458",53.8715037835641,73.3981642921587,77.8127232283796,29.2183745128492,53.3452423564517,48.1905897295707
"NM_001134425",2965.71916518828,3212.08716483559,2848.75411403639,58.4367490256984,811.463205845256,900.705069945547
"NM_024137",395.676907099971,300.932473597851,363.799744963853,90.4827081688233,201.07052888201,172.109249034181
"NM_001106264",277.716890194581,316.529583509934,236.469834226504,266.73548345601,313.916233866812,283.406563409618
"NM_001277694",419.8262018995,283.500409578463,291.039795971082,114.045913421121,188.760088338214,220.299838763752
"NM_001106270",25.0781138302799,29.3592657168635,36.3799744963853,15.0804513614706,36.9313216313897,29.8322698325914
"NM_001002277",147.682225889426,138.539035101449,194.026530647388,110.275800580753,131.311365800497,131.950424259539
"NM_001029902",396.605726130722,381.670454319225,376.936957976436,998.137374487332,803.256245482725,613.856321555246
"NM_001170575",237.777671872283,249.553758593339,294.071460512448,258.252729565183,231.846630241502,344.218498068362
"NM_001195606",1265.05151988301,1370.71071815606,993.375414720742,1697.49330637553,1034.07700567891,1080.84608393466
"NM_001001801",96.597179198115,75.2331183994626,99.0343750179376,48.0689387146874,46.1641520392371,53.9275646973767
"NM_019370",1973.7404403461,1852.38617132335,1068.15647340776,3466.61875671804,1266.94950596573,1442.27550690644
