"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_145782",13236.1273678201,-1.86935687552101,0.28574823640791,3.40460927865046e-12,2.40090427400216e-10
"NM_001100524",228.399736311421,-1.58838498660934,0.241187849291934,3.55244175915431e-12,2.48919820334118e-10
"NM_080786",4365.22664370131,-0.858159481761828,0.128173284214345,3.74483402086891e-12,2.60739994073284e-10
"NM_031332",5499.69553786169,-0.912916399222537,0.136750629652101,4.17241012585824e-12,2.88683545877777e-10
"NM_021653",127.404100481168,-1.93437474312085,0.296595528633339,4.73875970705137e-12,3.25819347107951e-10
"NM_022960",2759.13092211633,-1.04062528999106,0.157859856406106,5.62521232441368e-12,3.84366216030279e-10
"NM_001170467",745.066284288404,2.44911362618251,0.38009121974202,6.72623566080448e-12,4.56761225336482e-10
"NM_001013144",1228.57988267367,-0.840280420204179,0.12759964687056,8.35911016609448e-12,5.64163011884695e-10
"NM_001007664",5561.3493285371,-0.920939877535087,0.141016993248837,1.0280623545059e-11,6.85437209813297e-10
"NM_001007723",196.450847315991,1.21352728344726,0.18735241758336,1.02509699191839e-11,6.85437209813297e-10
"NM_023098",2416.91474871931,-1.34049452438015,0.207920540992916,1.04758359853598e-11,6.94245010090017e-10
"NM_001002851",190.299587654901,1.36038449786966,0.211299936913433,1.14470018437599e-11,7.5406267834253e-10
"NM_001047878",6752.75095401139,-1.7756955597091,0.278397501898136,1.33132057019323e-11,8.71324331394147e-10
"NM_001008886",3373.26623139724,-1.67044509471263,0.262122474431977,1.33854933192992e-11,8.71324331394147e-10
"NM_001010920",1458.52158014783,-0.735099247249757,0.112588011826413,1.52741690743086e-11,9.88418435214522e-10
"NM_001108727",255.478284584425,-1.30643205458887,0.204294032034412,1.55735685362636e-11,1.00189957583296e-09
"NM_031027",3907.48244781872,-0.844779633052146,0.13027669109281,1.61725446107621e-11,1.03438467013368e-09
"NM_001109904",1004.44299266219,-1.13485301796242,0.177772049239088,1.97041478945187e-11,1.25297879183584e-09
"NM_138547",21593.0368277219,-1.03107952460171,0.161083344316899,2.32491202789822e-11,1.46990558729358e-09
"NM_013123",944.746345916627,-1.07091889470844,0.168429163183209,2.53305215204326e-11,1.59234895569303e-09
"NM_133515",158.118343568445,-2.44143916827975,0.391978617715556,2.71586312509241e-11,1.69756876358759e-09
"NM_173295",1387.72046408591,-3.26619838844304,0.526313509459865,2.78719783646293e-11,1.73231431632366e-09
"NM_001024314",818.481510608416,0.92471555892242,0.144922350589698,2.82292781814852e-11,1.74466454648606e-09
"NM_019170",150.445181723902,1.72060170856594,0.275273606431184,3.01506763481509e-11,1.85300329891624e-09
"NM_001013189",2038.49325089447,-0.763146764481615,0.119176437983639,3.24839748466058e-11,1.98531226270839e-09
"NM_001012013",403.5770809125,-1.62124271586412,0.259939242572122,3.36418521231853e-11,2.04471831606167e-09
"NM_001025137",315.323794915566,-1.01117579629299,0.159901510828516,3.47375901525792e-11,2.09971554543145e-09
"NM_001107657",978.215722641059,-0.869884855986973,0.13751753251645,4.29399171219197e-11,2.58132255878819e-09
"NM_032416",22027.6327970203,-0.867630676658089,0.137334568751156,4.61901313608597e-11,2.76161758206966e-09
"NM_001113782",92.8624499359238,-4.91185418150375,0.80277081517804,4.91740207919781e-11,2.92412650125703e-09
"NM_053348",197.551945381741,-1.74611938027225,0.283138246481101,5.0053737827195e-11,2.96043639697297e-09
"NM_001105883",726.550663309367,-1.10298587298814,0.17693798353785,5.43850139191969e-11,3.19940929478655e-09
"NM_001271214",906.745343894806,-1.72816837873265,0.281120415694104,5.51180695774552e-11,3.2252866139446e-09
"NM_053450",996.913329842363,-0.824715913133039,0.131428116225306,6.56642325455055e-11,3.82207524991061e-09
"NM_001135698",384.494989925444,-1.35111985073473,0.219439980529429,6.691495660422e-11,3.87437598738434e-09
